Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Emiya,1843,1852,1872,1901,1930,1978,2026,2084,2143,2220,2297,2375,2472,2568,2675,2781,2897,3023,3159,3285,3430,3575,3720,3875,4039,4204,4368,4543,4717,4891,5075,5259,5443,5627,5820,6004,6198,6391,6585,6769,6962,7156,7349,7533,7727,7911,8094,8278,8462,8636,8811,8985,9149,9314,9478,9633,9778,9924,10069,10195,10330,10456,10572,10679,10785,10882,10979,11056,11133,11211,11269,11327,11366,11395,11424,11443,11462,11482,11501,11521,,,,,,,,,,
Gilgamesh,1920,2110,2311,2501,2702,2892,3093,3283,3473,3663,3842,4032,4211,4390,4568,4736,4904,5071,5228,5384,5541,5686,5831,5966,6100,6234,6357,6469,6580,6692,6781,6882,6972,7050,7128,7195,7251,7307,7352,7396,7430,7463,7486,7497,7508,7519,7530,7542,7553,7575,7609,7653,7698,7754,7810,7877,7955,8033,8123,8223,8313,8425,8536,8648,8771,8905,9039,9173,9319,9464,9620,9777,9933,10101,10269,10436,10615,10794,10973,11163,11342,11532,11722,11912,12113,12303,12504,12694,12895,13097
Robin Hood,1833,1949,2066,2192,2309,2434,2551,2676,2793,2919,3035,3161,3278,3403,3520,3645,3762,3888,4005,4130,4247,4372,4489,4614,4731,4857,4974,5099,5216,5341,5458,5583,5700,5826,5943,6068,6185,6310,6427,6553,6669,6795,6912,7037,7154,7279,7396,7522,7639,7764,7881,8006,8123,8248,8365,8491,8608,8733,8850,8975,9092,9217,9334,9460,9577,9702,9819,9944,10061,10187,,,,,,,,,,,,,,,,,,,,
Atalanta,1996,2195,2404,2614,2823,3023,3232,3431,3630,3830,4018,4207,4395,4584,4762,4930,5108,5265,5433,5580,5737,5873,6009,6146,6261,6387,6491,6596,6691,6785,6858,6932,6994,7057,7110,7152,7183,7204,7225,7236,7246,7256,7267,7277,7309,7351,7403,7466,7529,7602,7676,7770,7864,7969,8074,8200,8315,8451,8587,8724,8881,9028,9195,9352,9531,9698,9876,10065,10254,10442,10631,10830,11029,11228,11438,11637,11847,12056,12266,12476,,,,,,,,,,
Euryale,1711,1820,1929,2046,2155,2272,2381,2498,2607,2724,2833,2950,3059,3176,3285,3402,3511,3628,3737,3854,3963,4080,4189,4306,4415,4532,4641,4758,4867,4984,5094,5210,5320,5437,5546,5663,5772,5889,5998,6115,6224,6341,6450,6567,6676,6793,6902,7019,7128,7245,7354,7471,7580,7697,7806,7923,8032,8149,8258,8375,8484,8601,8710,8827,8936,9053,9163,9279,9389,9506,,,,,,,,,,,,,,,,,,,,
Arash,1424,1515,1612,1708,1805,1902,1999,2096,2193,2290,2386,2483,2580,2677,2774,2871,2968,3065,3161,3258,3349,3446,3543,3640,3737,3834,3931,4027,4124,4221,4318,4415,4512,4609,4706,4802,4899,4996,5093,5190,5281,5378,5475,5572,5669,5765,5862,5959,6056,6153,6250,6347,6443,6540,6637,6734,6831,6928,7025,7122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu Chulainn,1726,1899,2080,2260,2434,2607,2780,2953,3126,3291,3448,3614,3763,3913,4062,4204,4337,4471,4597,4715,4825,4935,5038,5132,5211,5289,5368,5431,5486,5533,5572,5604,5628,5643,5651,5659,5667,5683,5706,5738,5777,5824,5879,5942,6021,6100,6178,6273,6375,6485,6595,6713,6839,6973,7107,7248,7398,7547,7697,7862,8019,8184,8357,8530,8704,8877,9050,9231,9412,9593,,,,,,,,,,,,,,,,,,,,
Elizabeth Bathory,1899,2018,2148,2267,2397,2527,2646,2776,2906,3025,3155,3284,3404,3534,3663,3783,3913,4042,4162,4292,4421,4541,4670,4800,4920,5049,5179,5299,5428,5558,5678,5807,5937,6056,6186,6316,6435,6565,6695,6814,6944,7063,7193,7323,7442,7572,7702,7821,7951,8081,8200,8330,8459,8579,8709,8838,8958,9088,9217,9337,9466,9596,9716,9845,9975,10095,10224,10354,10474,10603,10733,10852,10982,11112,11231,11361,11491,11610,11740,11870,,,,,,,,,,
Musashibou Benkei,1722,1900,2085,2264,2442,2620,2798,2969,3140,3303,3467,3630,3779,3927,4076,4210,4343,4469,4588,4700,4804,4900,4989,5071,5145,5212,5272,5324,5361,5390,5413,5428,5435,5442,5450,5472,5502,5539,5591,5650,5717,5791,5873,5962,6059,6163,6274,6393,6519,6653,6787,6935,7084,7232,7396,7559,7723,7893,8064,8242,8421,8599,8777,8963,9149,,,,,,,,,,,,,,,,,,,,,,,,,
Cu Chulainn (Prototype),1817,1833,1850,1883,1916,1966,2024,2081,2156,2231,2322,2413,2520,2628,2744,2860,2992,3125,3266,3415,3564,3721,3887,4044,4218,4392,4566,4748,4930,5112,5295,5485,5667,5858,6048,6239,6421,6611,6793,6976,7158,7340,7514,7688,7862,8027,8185,8342,8491,8640,8781,8913,9046,9162,9278,9385,9493,9584,9675,9750,9824,9882,9940,9982,10015,10031,10048,10064,10081,10098,,,,,,,,,,,,,,,,,,,,
Leonidas I,1498,1653,1814,1969,2124,2279,2434,2583,2732,2874,3016,3158,3287,3416,3546,3662,3778,3888,3991,4088,4179,4263,4340,4411,4476,4534,4586,4631,4663,4689,4709,4722,4728,4734,4741,4760,4786,4818,4864,4915,4974,5038,5109,5187,5271,5361,5458,5561,5671,5788,5904,6033,6162,6292,6434,6576,6718,6867,7015,7170,7325,7480,7635,7797,7959,,,,,,,,,,,,,,,,,,,,,,,,,
Romulus,1779,1892,2005,2127,2240,2362,2475,2597,2710,2832,2945,3067,3180,3302,3416,3537,3651,3772,3886,4007,4121,4242,4356,4477,4591,4712,4826,4947,5061,5182,5296,5417,5531,5652,5766,5887,6001,6122,6236,6357,6471,6592,6706,6827,6941,7062,7176,7297,7411,7532,7646,7767,7881,8002,8116,8237,8351,8472,8586,8707,8821,8942,9056,9177,9291,9412,9526,9647,9761,9883,,,,,,,,,,,,,,,,,,,,
Medusa,1608,1710,1813,1923,2025,2135,2238,2348,2450,2560,2663,2773,2875,2985,3088,3198,3300,3410,3513,3623,3726,3836,3938,4048,4151,4261,4363,4473,4576,4686,4788,4898,5001,5111,5213,5323,5426,5536,5638,5748,5851,5961,6064,6173,6276,6386,6489,6599,6701,6811,6914,7024,7126,7236,7339,7449,7551,7661,7764,7874,7976,8086,8189,8299,8401,8511,8614,8724,8827,8937,,,,,,,,,,,,,,,,,,,,
Saint George,1731,1843,1962,2074,2194,2313,2425,2545,2664,2776,2896,3008,3127,3247,3359,3478,3598,3710,3829,3941,4061,4180,4292,4412,4531,4643,4763,4875,4994,5114,5226,5345,5465,5577,5697,5809,5928,6048,6160,6279,6399,6511,6630,6742,6862,6981,7093,7213,7332,7444,7564,7676,7795,7915,8027,8146,8266,8378,8497,8609,8729,8848,8960,9080,9200,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Teach,1488,1500,1520,1545,1577,1622,1674,1731,1796,1866,1943,2027,2117,2213,2316,2425,2540,2656,2784,2913,3041,3182,3323,3465,3612,3760,3914,4068,4222,4376,4537,4697,4851,5012,5166,5320,5474,5628,5775,5923,6064,6205,6347,6475,6603,6732,6847,6963,7072,7175,7271,7361,7444,7521,7592,7656,7714,7765,7791,7810,7829,7849,7868,7887,7907,,,,,,,,,,,,,,,,,,,,,,,,,
Boudica,1823,1939,2055,2180,2296,2421,2537,2662,2778,2902,3019,3143,3260,3384,3501,3625,3741,3866,3982,4107,4223,4348,4464,4589,4705,4830,4946,5071,5187,5311,5428,5552,5669,5793,5910,6034,6150,6275,6391,6516,6632,6757,6873,6998,7114,7239,7355,7480,7596,7720,7837,7961,8078,8202,8319,8443,8559,8684,8800,8925,9041,9166,9282,9407,9523,9648,9764,9889,10005,10130,,,,,,,,,,,,,,,,,,,,
Ushiwakamaru,1625,1787,1958,2128,2291,2454,2617,2779,2942,3098,3246,3401,3542,3683,3823,3956,4082,4208,4327,4438,4541,4645,4741,4830,4904,4978,5052,5111,5163,5208,5245,5274,5296,5311,5319,5326,5333,5348,5370,5400,5437,5481,5533,5593,5667,5741,5815,5903,6000,6103,6207,6318,6436,6562,6688,6821,6962,7103,7243,7399,7547,7702,7865,8028,8191,8354,8517,8687,8857,9028,,,,,,,,,,,,,,,,,,,,
Alexander,1555,1654,1753,1859,1958,2065,2164,2270,2369,2476,2575,2681,2780,2886,2986,3092,3191,3297,3397,3503,3602,3708,3808,3914,4013,4119,4218,4325,4424,4530,4629,4736,4835,4941,5040,5147,5246,5352,5451,5558,5657,5763,5862,5968,6068,6174,6273,6379,6479,6585,6684,6790,6890,6996,7095,7201,7300,7407,7506,7612,7711,7818,7917,8023,8122,8229,8328,8434,8533,8640,,,,,,,,,,,,,,,,,,,,
Marie Antoinette,1975,2172,2379,2587,2794,2991,3199,3396,3593,3790,3976,4163,4350,4537,4713,4879,5055,5211,5377,5522,5678,5813,5947,6082,6196,6321,6425,6528,6622,6715,6788,6860,6922,6985,7037,7078,7109,7130,7151,7161,7171,7182,7192,7202,7234,7275,7327,7389,7451,7524,7597,7690,7783,7887,7991,8115,8229,8364,8499,8634,8790,8935,9101,9256,9433,9599,9775,9962,10148,10335,10522,10719,10916,11113,11321,11518,11725,11933,12140,12348,,,,,,,,,,
Saint Martha,2090,2221,2364,2496,2638,2781,2913,3056,3198,3330,3473,3615,3747,3890,4033,4164,4307,4450,4582,4724,4867,4999,5141,5284,5416,5559,5701,5833,5976,6118,6250,6393,6536,6667,6810,6953,7084,7227,7370,7502,7644,7776,7919,8062,8193,8336,8479,8610,8753,8896,9028,9170,9313,9445,9587,9730,9862,10005,10147,10279,10422,10565,10696,10839,10982,11113,11256,11399,11531,11673,11816,11948,12090,12233,12365,12508,12650,12782,12925,13068,,,,,,,,,,
Medea,1555,1569,1583,1611,1640,1682,1732,1781,1845,1909,1987,2065,2157,2249,2348,2448,2561,2674,2795,2922,3050,3185,3327,3461,3610,3759,3908,4064,4220,4376,4531,4694,4850,5013,5176,5339,5495,5658,5814,5970,6126,6282,6431,6580,6729,6871,7005,7140,7267,7395,7516,7629,7742,7842,7941,8033,8125,8203,8281,8345,8409,8458,8508,8543,8572,8586,8600,8614,8628,8643,,,,,,,,,,,,,,,,,,,,
Gilles de Rais,1711,1726,1742,1773,1804,1851,1905,1960,2030,2100,2186,2272,2373,2474,2584,2693,2817,2942,3075,3215,3355,3503,3659,3807,3971,4135,4298,4470,4641,4813,4984,5164,5335,5514,5694,5873,6045,6224,6395,6567,6738,6910,7073,7237,7401,7557,7705,7853,7993,8134,8266,8391,8516,8625,8734,8835,8936,9022,9108,9178,9248,9303,9357,9396,9428,9443,9459,9474,9490,9506,,,,,,,,,,,,,,,,,,,,
Hans Christian Andersen,1597,1610,1631,1658,1693,1741,1796,1858,1927,2003,2085,2175,2271,2375,2485,2602,2726,2850,2988,3125,3263,3415,3566,3718,3876,4034,4200,4365,4530,4696,4868,5040,5205,5377,5543,5708,5873,6039,6197,6355,6507,6658,6810,6948,7085,7223,7347,7471,7588,7698,7802,7898,7988,8070,8146,8215,8277,8332,8360,8380,8401,8422,8442,8463,8484,,,,,,,,,,,,,,,,,,,,,,,,,
William Shakespeare,1520,1533,1552,1579,1611,1657,1710,1769,1834,1907,1985,2071,2162,2261,2366,2477,2595,2713,2845,2976,3107,3251,3396,3540,3691,3842,3999,4157,4314,4472,4636,4800,4957,5121,5278,5436,5593,5751,5902,6052,6197,6341,6485,6617,6748,6879,6997,7115,7227,7332,7430,7522,7607,7686,7758,7824,7883,7935,7961,7981,8001,8020,8040,8060,8080,,,,,,,,,,,,,,,,,,,,,,,,,
Mephistopheles,1659,1825,1999,2172,2339,2505,2671,2837,3004,3162,3313,3472,3616,3759,3903,4039,4167,4296,4417,4530,4636,4742,4840,4931,5006,5082,5157,5218,5271,5316,5354,5384,5407,5422,5429,5437,5445,5460,5482,5513,5550,5596,5649,5709,5785,5860,5936,6026,6125,6230,6336,6450,6571,6699,6827,6964,7107,7251,7394,7553,7704,7863,8029,8195,8362,8528,8694,8868,9042,9216,,,,,,,,,,,,,,,,,,,,
Wolfgang Amadeus Mozart,1425,1516,1613,1710,1807,1904,2001,2098,2195,2292,2388,2485,2582,2679,2776,2873,2970,3067,3164,3261,3352,3449,3546,3643,3740,3837,3934,4031,4128,4225,4322,4419,4516,4613,4710,4807,4904,5001,5098,5195,5286,5383,5480,5577,5674,5771,5868,5965,6062,6159,6256,6353,6450,6547,6644,6741,6838,6935,7032,7129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhuge Kongming (El-Melloi II),2091,2103,2115,2139,2176,2224,2273,2322,2395,2456,2541,2626,2711,2808,2918,3027,3149,3271,3405,3538,3685,3831,3977,4135,4305,4475,4646,4816,4999,5193,5376,5571,5765,5960,6167,6374,6580,6787,6994,7201,7420,7627,7846,8065,8272,8491,8710,8917,9136,9343,9549,9756,9963,10170,10377,10572,10766,10961,11143,11338,11521,11691,11861,12032,12202,12360,12506,12652,12798,12932,13066,13188,13309,13419,13528,13626,13711,13796,13881,13942,14015,14064,14088,14112,14137,14161,14185,14210,14234,14259
Cu Chulainn,1728,1901,2082,2263,2436,2610,2783,2956,3129,3295,3452,3618,3767,3917,4067,4208,4342,4476,4602,4720,4831,4941,5043,5138,5217,5295,5374,5437,5492,5539,5579,5610,5634,5650,5658,5666,5673,5689,5713,5744,5784,5831,5886,5949,6028,6107,6185,6280,6382,6492,6603,6721,6847,6981,7115,7256,7406,7556,7705,7871,8028,8194,8367,8540,8714,8887,9060,9241,9422,9604,,,,,,,,,,,,,,,,,,,,
Sasaki Koujirou,1244,1373,1507,1637,1766,1895,2025,2149,2269,2388,2502,2617,2726,2831,2930,3025,3114,3199,3279,3348,3418,3478,3532,3582,3622,3657,3687,3707,3722,3727,3732,3736,3751,3771,3801,3836,3876,3926,3980,4040,4110,4179,4259,4344,4433,4528,4627,4732,4841,4956,5070,5189,5309,5433,5563,5692,5821,5951,6085,6220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan of the Cursed Arm,1429,1521,1620,1712,1811,1909,2002,2100,2199,2292,2390,2483,2581,2680,2772,2871,2970,3062,3161,3253,3352,3451,3543,3642,3740,3833,3931,4024,4123,4221,4314,4412,4511,4603,4702,4795,4893,4992,5084,5183,5282,5374,5473,5565,5664,5762,5855,5954,6052,6145,6243,6336,6434,6533,6626,6724,6823,6915,7014,7106,7205,7304,7396,7495,7594,,,,,,,,,,,,,,,,,,,,,,,,,
Stheno,1843,1959,2084,2200,2326,2452,2568,2694,2820,2936,3062,3187,3303,3429,3555,3671,3797,3923,4039,4165,4290,4406,4532,4658,4774,4900,5026,5142,5267,5393,5509,5635,5761,5877,6003,6129,6245,6370,6496,6612,6738,6854,6980,7106,7222,7348,7473,7589,7715,7841,7957,8083,8209,8325,8451,8576,8692,8818,8944,9060,9186,9312,9428,9553,9679,9795,9921,10047,10163,10289,10415,10531,10656,10782,10898,11024,11150,11266,11392,11518,,,,,,,,,,
Jing Ke,1492,1641,1798,1954,2104,2253,2403,2552,2702,2845,2981,3124,3253,3382,3511,3634,3749,3865,3974,4076,4171,4266,4355,4436,4504,4572,4640,4695,4742,4783,4817,4844,4865,4878,4885,4892,4899,4912,4933,4960,4994,5035,5082,5137,5205,5273,5341,5422,5511,5606,5701,5803,5912,6028,6143,6266,6395,6524,6653,6796,6932,7075,7225,7374,7524,7674,7823,7980,8136,8293,,,,,,,,,,,,,,,,,,,,
Charles-Henri Sanson,1564,1577,1597,1624,1658,1705,1759,1820,1887,1961,2042,2130,2225,2326,2434,2548,2670,2791,2926,3061,3196,3344,3493,3641,3796,3951,4113,4275,4437,4599,4767,4936,5098,5267,5428,5590,5752,5914,6069,6224,6373,6521,6669,6804,6939,7074,7196,7317,7432,7540,7641,7735,7823,7904,7978,8045,8106,8160,8187,8207,8228,8248,8268,8288,8309,,,,,,,,,,,,,,,,,,,,,,,,,
Phantom of the Opera,1580,1682,1791,1893,2002,2111,2213,2322,2431,2533,2642,2745,2854,2963,3065,3174,3283,3385,3494,3596,3705,3814,3916,4025,4134,4237,4346,4448,4557,4666,4768,4877,4986,5088,5197,5299,5408,5517,5620,5729,5838,5940,6049,6151,6260,6369,6471,6580,6689,6791,6900,7003,7112,7221,7323,7432,7541,7643,7752,7854,7963,8072,8174,8283,8393,,,,,,,,,,,,,,,,,,,,,,,,,
Mata Hari,1313,1449,1591,1727,1864,2001,2137,2268,2394,2520,2641,2762,2878,2988,3093,3193,3287,3377,3461,3534,3608,3671,3728,3781,3823,3860,3891,3912,3928,3933,3939,3944,3960,3981,4012,4049,4091,4143,4201,4264,4338,4411,4495,4584,4679,4779,4884,4994,5110,5230,5351,5477,5603,5735,5871,6008,6144,6281,6423,6565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmilla,1675,1683,1701,1727,1754,1798,1842,1894,1947,2018,2088,2158,2246,2334,2431,2528,2633,2748,2871,2985,3117,3249,3381,3522,3672,3821,3971,4129,4288,4446,4613,4780,4947,5115,5290,5458,5634,5810,5986,6153,6329,6505,6681,6848,7024,7191,7358,7525,7692,7851,8009,8167,8317,8467,8616,8757,8889,9021,9153,9267,9390,9505,9610,9707,9804,9892,9980,10050,10121,10191,10244,10297,10332,10358,10385,10402,10420,10437,10455,10473,,,,,,,,,,
Heracles,1652,1816,1990,2163,2337,2502,2675,2840,3005,3170,3326,3482,3638,3794,3942,4081,4228,4358,4497,4618,4748,4861,4974,5087,5182,5286,5373,5460,5538,5616,5677,5737,5789,5842,5885,5920,5946,5963,5980,5989,5998,6006,6015,6024,6050,6084,6128,6180,6232,6293,6353,6431,6510,6596,6683,6787,6883,6995,7108,7221,7351,7472,7611,7741,7889,8028,8175,8331,8487,8644,8800,8965,9129,9294,9468,9633,9806,9980,10153,10327,,,,,,,,,,
Lancelot,1652,1660,1678,1704,1730,1773,1816,1868,1920,1990,2059,2129,2215,2302,2398,2493,2597,2710,2831,2944,3074,3204,3334,3473,3621,3768,3916,4072,4228,4384,4549,4714,4879,5043,5217,5382,5555,5729,5902,6067,6241,6414,6588,6752,6926,7091,7256,7420,7585,7741,7898,8054,8201,8349,8496,8635,8765,8895,9025,9138,9259,9372,9476,9572,9667,9754,9841,9910,9980,10049,10101,10153,10188,10214,10240,10257,10274,10292,10309,10327,,,,,,,,,,
Lu Bu Feng Xian,1494,1643,1800,1956,2106,2256,2406,2556,2705,2848,2984,3127,3257,3386,3515,3638,3754,3869,3978,4081,4176,4271,4360,4441,4509,4578,4646,4700,4748,4789,4823,4850,4870,4884,4891,4898,4904,4918,4938,4966,5000,5040,5088,5143,5211,5279,5347,5429,5517,5612,5708,5810,5919,6034,6150,6273,6402,6531,6661,6804,6940,7083,7233,7382,7532,7682,7832,7988,8145,8302,,,,,,,,,,,,,,,,,,,,
Spartacus,1544,1704,1871,2032,2192,2353,2513,2668,2816,2964,3107,3249,3385,3514,3638,3755,3866,3971,4070,4157,4243,4317,4385,4447,4497,4540,4577,4602,4620,4626,4633,4639,4657,4682,4719,4762,4812,4873,4941,5016,5102,5189,5287,5392,5504,5621,5745,5874,6010,6152,6294,6443,6591,6745,6906,7067,7227,7388,7555,7722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sakata Kintoki,1782,1958,2144,2321,2507,2684,2870,3046,3223,3399,3565,3741,3907,4073,4239,4394,4550,4705,4850,4996,5141,5276,5410,5535,5659,5784,5898,6001,6105,6209,6292,6385,6468,6540,6613,6675,6727,6779,6820,6862,6893,6924,6945,6955,6966,6976,6986,6997,7007,7028,7059,7100,7142,7194,7245,7308,7380,7453,7536,7629,7712,7816,7919,8023,8137,8262,8386,8510,8645,8780,8925,9070,9215,9371,9526,9682,9848,10014,10180,10356,10522,10698,10874,11050,11237,11413,11600,11776,11963,12150
Vlad III,2019,2030,2042,2066,2101,2148,2195,2242,2312,2371,2453,2536,2618,2712,2818,2923,3041,3158,3288,3417,3558,3699,3840,3993,4157,4322,4486,4651,4827,5015,5191,5379,5567,5755,5955,6155,6355,6554,6754,6954,7165,7365,7577,7788,7988,8200,8411,8611,8822,9022,9222,9422,9621,9821,10021,10209,10397,10585,10761,10949,11126,11290,11455,11619,11784,11936,12077,12218,12359,12489,12618,12735,12853,12959,13064,13158,13241,13323,13405,13464,13534,13581,13605,13628,13652,13675,13699,13722,13746,13770
Asterion,1320,1404,1494,1584,1674,1763,1853,1943,2033,2123,2212,2302,2392,2482,2572,2662,2751,2841,2931,3021,3105,3195,3285,3375,3465,3555,3644,3734,3824,3914,4004,4094,4183,4273,4363,4453,4543,4633,4722,4812,4897,4987,5076,5166,5256,5346,5436,5526,5615,5705,5795,5885,5975,6065,6154,6244,6334,6424,6514,6604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caligula,1374,1385,1403,1427,1457,1498,1545,1599,1658,1723,1794,1872,1955,2043,2138,2239,2346,2453,2571,2690,2808,2939,3069,3200,3336,3472,3615,3757,3899,4042,4190,4338,4480,4629,4771,4913,5055,5198,5334,5470,5601,5731,5862,5980,6099,6217,6324,6431,6532,6627,6716,6799,6876,6947,7012,7071,7125,7172,7196,7214,7231,7249,7267,7285,7303,,,,,,,,,,,,,,,,,,,,,,,,,
Darius III,1577,1677,1778,1885,1986,2094,2194,2302,2403,2511,2611,2719,2820,2927,3028,3136,3236,3344,3445,3553,3653,3761,3862,3969,4070,4178,4278,4386,4487,4595,4695,4803,4904,5011,5112,5220,5320,5428,5529,5637,5737,5845,5946,6053,6154,6262,6362,6470,6571,6679,6779,6887,6988,7095,7196,7304,7404,7512,7613,7721,7821,7929,8030,8137,8238,8346,8446,8554,8655,8763,,,,,,,,,,,,,,,,,,,,
